OrderID,OrderDate,CustomerID,TotalAmount,Status
1,2023-01-01,25,6202.83,Cancelled
2,2023-01-02,32,9871.87,Cancelled
3,2023-01-03,78,6814.71,Completed
4,2023-01-04,89,4972.72,Pending
5,2023-01-05,91,5150.9,Pending
6,2023-01-06,6,6603.76,Pending
7,2023-01-07,20,7080.93,Cancelled
8,2023-01-08,15,4101.39,Cancelled
9,2023-01-09,16,1755.19,Pending
10,2023-01-10,34,4953.16,Pending
11,2023-01-11,49,7449.77,Cancelled
12,2023-01-12,76,9997.49,Cancelled
13,2023-01-13,38,8166.68,Cancelled
14,2023-01-14,98,605.24,Cancelled
15,2023-01-15,48,2758.82,Cancelled
16,2023-01-16,47,9969.86,Cancelled
17,2023-01-17,58,1077.43,Pending
18,2023-01-18,1,6506.6,Pending
19,2023-01-19,36,1548.39,Completed
20,2023-01-20,23,9254.6,Cancelled
21,2023-01-21,74,6965.34,Cancelled
22,2023-01-22,10,9044.64,Completed
23,2023-01-23,93,1355.14,Completed
24,2023-01-24,60,2319.98,Pending
